Популярные подкатегории,Кол-во продаж по subcategory,Уникальные артикулы в sub,Сумма продаж по subcategory,Всего потрачено на закупку,Средняя цена за единицу,Средняя закупочная цена,Маржа в грн/шт,Общая прибыль,Маржа % ,Markup % (Наценка),Индекс эффективности подкатегории,эффективность наценки,Доход с 1 SKU в подкатегории,Средняя прибыль на 1 SKU
nan,37,27,"37 985,00","22 735,48","809,97","1 450,36","-640,39","-23 694,44","-79,06%","-44,15%","0,00","1,79","1406,85","-0,04"
UT,210,183,"69 103,00","58 287,16","352,98","306,63","46,36","9 734,64","13,13%","15,12%","1,00","0,87","377,61","3,95"
41,280,111,"133 279,00","112 079,70","749,15","626,36","122,79","34 380,07","16,39%","19,60%","2,11","0,84","1200,71","0,90"
35,17,9,"1 657,00","1 104,48","144,83","112,36","32,47","552,00","22,42%","28,90%","1,47","0,78","184,11","0,28"
36,42,12,"12 208,00","8 610,40","783,24","595,03","188,21","7 904,81","24,03%","31,63%","2,66","0,76","1017,33","0,06"
31,271,69,"134 233,00","94 068,99","800,22","569,38","230,84","62 557,38","28,85%","40,54%","2,79","0,71","1945,41","0,30"
27,27,6,"18 094,00","11 912,84","997,01","697,90","299,11","8 075,93","30,00%","42,86%","3,15","0,70","3015,67","0,02"
18,3 270,522,"531 430,00","280 618,86","289,27","202,43","86,84","283 962,29","30,02%","42,90%","4,38","0,70","1018,07","6,01"
37,21,14,"15 240,00","10 530,90","787,18","545,59","241,59","5 073,30","30,69%","44,28%","1,04","0,69","1088,57","0,06"
15,67,36,"15 892,00","10 559,76","347,43","240,43","107,00","7 169,07","30,80%","44,50%","1,29","0,69","441,44","0,34"
25,3 124,624,"543 859,00","282 748,73","219,61","149,64","69,98","218 606,89","31,86%","46,76%","3,41","0,68","871,57","8,92"
44,1 735,477,"195 318,00","110 536,63","155,49","103,79","51,70","89 701,86","33,25%","49,82%","2,43","0,67","409,47","9,23"
28,218,10,"116 208,00","74 963,30","619,99","408,59","211,40","46 085,82","34,10%","51,74%","14,37","0,66","11620,80","0,05"
11,42 439,9259,"9 499 326,00","6 121 370,94","334,10","220,17","113,93","4 835 098,09","34,10%","51,75%","3,02","0,66","1025,96","81,27"
26,322,53,"46 180,00","29 157,60","138,06","90,10","47,95","15 441,34","34,74%","53,22%","3,97","0,65","871,32","1,11"
12,59 083,11739,"15 228 170,00","9 027 914,12","380,36","245,14","135,22","7 989 112,38","35,55%","55,16%","3,24","0,64","1297,23","86,82"
17,950,13,"206 138,00","17 014,90","243,95","155,75","88,20","83 790,75","36,15%","56,63%","46,66","0,64","15856,77","0,15"
22,2 493,275,"428 486,00","248 268,30","281,65","179,03","102,62","255 843,61","36,44%","57,32%","5,76","0,64","1558,13","2,68"
13,34 550,4942,"9 856 793,00","5 607 885,78","352,39","222,85","129,54","4 475 539,54","36,76%","58,13%","4,42","0,63","1994,49","38,15"
43,102,53,"64 192,00","40 227,60","920,49","576,76","343,72","35 059,65","37,34%","59,60%","1,21","0,63","1211,17","0,15"
20,995,75,"328 703,00","90 366,69","411,22","254,53","156,69","155 904,11","38,10%","61,56%","8,21","0,62","4382,71","0,48"
45,84,13,"27 715,00","16 869,00","889,63","549,00","340,63","28 612,62","38,29%","62,04%","3,99","0,62","2131,92","0,04"
14,37 127,4702,"7 972 306,00","4 480 779,21","426,91","263,00","163,91","6 085 563,07","38,39%","62,32%","4,86","0,62","1695,51","28,69"
30,54,47,"6 332,00","3 882,95","129,37","79,55","49,82","2 690,13","38,51%","62,62%","0,71","0,61","134,72","0,94"
23,1 534,84,"314 376,00","139 255,62","217,77","133,64","84,14","129 065,82","38,64%","62,96%","11,21","0,61","3742,57","1,00"
16,23 632,2368,"5 041 515,00","2 788 390,08","319,80","193,88","125,92","2 975 684,67","39,37%","64,95%","6,05","0,61","2129,02","18,81"
21,285,76,"38 618,00","22 451,46","150,54","90,87","59,67","17 006,06","39,64%","65,66%","2,26","0,60","508,13","1,27"
19,16 095,2842,"2 663 795,00","1 463 605,60","261,64","156,54","105,10","1 691 555,69","40,17%","67,14%","3,39","0,60","937,30","27,04"
10,23 952,2460,"6 245 340,00","3 021 011,70","418,44","248,05","170,39","4 081 149,61","40,72%","68,69%","5,77","0,59","2538,76","14,44"
40,461,228,"324 563,00","183 387,12","906,99","502,40","404,59","186 517,61","44,61%","80,53%","1,12","0,55","1423,52","0,56"